seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado,direccion,lat,lon,epsg
37,92,5,409447.0,DE LOS INCAS AV.,3128,2020-01-19,DE LOS INCAS AV. 3128,-34.570973,-58.458896,4326
48,115,11,142274.0,DIRECTORIO AV.,2360,2020-01-19,DIRECTORIO AV. 2360,-34.633390,-58.460116,4326
36,11,18,154319.0,LA PLATA AV.,476,2020-01-19,LA PLATA AV. 476,-34.620298,-58.428042,4326
17,48,28,172325.0,ESTADO DE PALESTINA,748,2020-01-19,ESTADO DE PALESTINA 748,-34.601967,-58.425591,4326
7,12,017B,452943.0,CALLAO AV.,2001,2020-01-20,CALLAO AV. 2001,-34.587474,-58.386867,4326
1,11,29,220867.0,MAIPU,216,2020-01-20,MAIPU 216,-34.605591,-58.376585,4326
34,062B,21,107072.0,CACHI,440,2020-01-20,CACHI 440,Sin dato,Sin dato,Sin dato
22,31,45,181321.0,PASCO,1425,2020-01-20,PASCO 1425,-34.626006,-58.395716,4326
37,81,004A,409561.0,"FREIRE, RAMON, CAP. GRAL.",1668,2020-01-20,"FREIRE, RAMON, CAP. GRAL. 1668",-34.570894,-58.460615,4326
11,63,021A,442176.0,GUIDO,1923,2020-01-20,GUIDO 1923,-34.588946,-58.391208,4326
13,91,018B,195963.0,ECUADOR,531,2020-01-20,ECUADOR 531,-34.603802,-58.407619,4326
11,86,36,441993.0,CALLAO AV.,2024,2020-01-20,CALLAO AV. 2024,-34.587273,-58.386872,4326
11,8,022A,442713.0,PUEYRREDON AV.,1733,2020-01-20,PUEYRREDON AV. 1733,Sin dato,Sin dato,Sin dato
11,78,7,440107.0,ARENALES,1845,2020-01-20,ARENALES 1845,-34.594734,-58.393918,4326
25,86,001C,368217.0,BLANCO ENCALADA,1204,2020-01-20,BLANCO ENCALADA 1204,-34.552028,-58.446894,4326
8,35,005A,117823.0,CASEROS AV.,716,2020-01-21,CASEROS AV. 716,-34.626964,-58.374661,4326
39,92,008B,370626.0,AMENABAR,2209,2020-01-21,AMENABAR 2209,-34.562054,-58.459450,4326
35,82,49,405821.0,AMENABAR,459,2020-01-21,AMENABAR 459,-34.574084,-58.443728,4326
48,153,35,140717.0,CARABOBO AV.,217,2020-01-21,CARABOBO AV. 217,-34.629567,-58.455440,4326
65,120A,35,134082.0,FRAY LUIS BELTRAN,78,2020-01-21,FRAY LUIS BELTRAN 78,-34.626334,-58.458305,4326
37,142,015A,416655.0,CESPEDES,2531,2020-01-21,CESPEDES 2531,-34.570002,-58.449539,4326
17,064A,55,170768.0,RIVADAVIA AV.,3949,2020-01-21,RIVADAVIA AV. 3949,-34.611709,-58.421767,4326
35,44,15,402735.0,FITZ ROY,1839,2020-01-21,FITZ ROY 1839,-34.583095,-58.435020,4326
