Código,Calidad 1,Calidad 2,Calidad 3,Calidad 4
20022201,326,38,0,0
20022202,265,14,0,0
20022203,194,9,0,0
20022204,466,8,1,0
20022205,465,54,3,0
20022206,534,21,1,0
20022301,396,33,0,0
20022302,496,13,0,0
20022303,425,8,0,0
20022304,339,38,0,0
20022305,285,8,0,0
20022306,193,5,0,0
20022307,209,19,0,0
20022308,164,17,0,0
20022309,412,34,0,0
20022401,416,26,2,0
20022402,358,13,0,0
20022403,322,8,1,0
20022404,417,32,2,0
20022405,434,60,0,0
20022406,418,40,0,1
20022501,295,14,0,0
20022502,327,17,0,0
20022503,174,3,0,0
20022504,385,40,0,0
20022505,372,80,0,1
20022506,298,33,16,1
20022507,329,42,1,1
20022508,469,35,1,0
20022509,392,13,0,0
20022510,218,79,0,0
20022511,395,34,2,0
20030101,404,65,4,1
20030102,371,34,3,1
20030103,436,7,0,0
20030104,224,17,0,0
20030105,274,61,13,13
20030106,207,37,6,2
20030107,264,44,17,3
20030108,160,6,2,1
20030109,202,15,0,0
20030110,171,3,0,0
20030111,216,5,0,1
20030201,280,40,0,0
20030202,307,23,1,0
20030203,280,36,0,0
20030204,240,43,0,0
20030205,301,33,2,0
20030206,330,18,1,0
20030207,370,24,0,0
20030208,309,29,0,0
20030209,250,25,0,0
20030210,167,1,0,0
20030211,221,32,0,0
20030212,280,18,0,0
20030301,438,14,0,0
20030302,288,79,0,0
20030303,221,21,2,0
20030304,198,7,0,0
20030305,189,45,0,0
20030306,285,8,0,0
20030307,293,6,1,0
20030308,253,6,1,0
20030309,147,7,0,0
20030310,243,19,1,0
20030311,305,0,0,0
20030401,283,25,0,0
20030402,191,17,0,0
20030403,259,12,2,0
20030404,264,22,0,0
20030405,252,13,1,0
20030406,257,32,6,0
20030407,216,48,0,0
20030408,228,6,0,0
20030501,337,32,0,0
20030502,223,59,1,0
20030503,414,35,0,0
20030504,218,30,0,0
20030505,308,12,4,0
20030506,184,19,0,0
20030507,338,12,0,0
20030601,321,30,0,0
20030602,137,3,1,0
20030603,248,43,1,1
20030604,280,13,4,0
20030605,220,62,21,0
20030606,184,66,0,0
20030607,267,37,0,0
20030701,130,3,0,0
20030702,362,21,1,0
20030703,392,36,2,2
20030704,330,25,1,0
20030705,252,12,0,0
20030706,269,10,0,0
20030707,450,16,2,0
20030708,140,19,0,0
